,Price,Address,Bedrooms,Energy class,Primary energy consumption,Furnished,Terrace,Terrace surface,Surface of the plot,Living room surface,Number of frontages,Construction year,Building condition,Outdoor parking space,Bathrooms,Shower rooms,Office,Toilets,Kitchen type,Heating type,immo_code,Postcode,Price2,Price_orig,Terrace2,Province,Region
3752,458500,Avenue Louise 200,2,F,339,0,0,0,0,0,0,0,Good,0,1,0,0,1,Not installed,0,10655701,1050,458500,€458500,0,Brussels Hoofdstedelijk Gewest,Brussels
3753,609500,Avenue Louise 200,3,F,327,0,0,0,0,0,0,0,As new,0,1,0,0,2,Not installed,0,10655700,1050,609500,€609500,0,Brussels Hoofdstedelijk Gewest,Brussels
3754,458500,Avenue Louise 200,2,F,339,0,0,0,0,0,0,0,Good,0,1,0,0,1,Not installed,0,10655699,1050,458500,€458500,0,Brussels Hoofdstedelijk Gewest,Brussels
3755,495000,Natiënlaan 199,2,Not specified,Not specified,0,1,31,0,0,2,2023,0,0,2,0,0,3,Installed,0,10655695,8300,495000,€495000,1,West-Vlaanderen,Flanders
3756,465000,Zomerlaan 1,5,C,244,0,0,0,856,0,4,1985,Good,0,1,0,0,0,Installed,Gas,10655692,9980,465000,€465000,0,Oost-Vlaanderen,Flanders
3757,329000,Marktstraat 20 b1,3,F,921,0,1,0,1950,35,4,1960,0,0,0,0,0,0,Installed,Gas,10655690,8210,329000,€329000,1,West-Vlaanderen,Flanders
3758,249000,Marktstraat 20 b1,3,F,862,0,0,0,400,32,4,1950,0,0,1,0,0,1,0,Gas,10655689,8211,249000,€249000,0,West-Vlaanderen,Flanders
3759,235000,"Heuleplaats, 16",3,D,394,0,0,0,184,0,2,0,Good,0,1,0,0,1,Installed,0,10655687,9700,235000,€235.000Wenst,0,Oost-Vlaanderen,Flanders
3760,139000,"Heuleplaats, 16",2,F,511,0,0,0,124,0,2,0,0,0,0,0,0,0,0,0,10655686,8870,139000,€139000,0,West-Vlaanderen,Flanders
3761,389000,Rue du Bosquet 3,2,A++,Not specified,0,1,8,0,1,0,2020,0,0,1,0,0,1,Installed,Fuel oil,10655685,1348,389000,€389000,1,Brabant wallon,Wallonia
3762,389000,Rue du Bosquet 3,2,A,Not specified,0,1,5,0,1,0,2020,0,0,1,0,0,1,Installed,Fuel oil,10655683,1348,389000,€389000,1,Brabant wallon,Wallonia
3763,470000,Rue du Bosquet 3,3,Not specified,Not specified,0,1,24,0,1,0,2020,0,0,2,0,0,1,Installed,Fuel oil,10655682,1348,470000,€470000,1,Brabant wallon,Wallonia
3764,450000,Rue du Bosquet 3,3,Not specified,Not specified,0,1,8,0,1,0,2020,0,0,2,0,0,1,Installed,Fuel oil,10655681,1348,450000,€450000,1,Brabant wallon,Wallonia
3765,585000,Dumortierlaan 89,2,Not specified,Not specified,0,0,0,0,0,2,0,As new,0,2,0,0,0,0,0,10655680,8300,585000,€585000,0,West-Vlaanderen,Flanders
3766,228000,Langerenstraat 1,1,Not specified,Not specified,0,0,0,0,25,2,2021,0,0,1,0,0,1,Installed,0,10655678,3680,228000,€228000,0,Limburg,Flanders
3767,549000,Aarschotsesteenweg 201,4,F,652,0,0,0,16366,0,0,1958,0,0,1,0,0,0,0,0,10655677,3660,549000,€549000,0,Limburg,Flanders
3768,349000,Italiëlei 207,2,B,169,0,1,0,0,0,2,1970,As new,0,2,0,0,1,Installed,Gas,10655674,2140,349000,€349000,1,Antwerpen,Flanders
3769,265000,Lichtveld 88,3,F,657,0,0,0,818,37,3,1964,Good,0,1,0,0,1,Semi equipped,Fuel oil,10655673,3980,265000,€265000,0,Limburg,Flanders
3770,224000,Italiëlei 207,2,B,117,0,0,0,0,0,2,1974,Good,0,1,0,0,0,Semi equipped,Gas,10655672,2140,224000,€224000,0,Antwerpen,Flanders
3771,30000,Italiëlei 207,3,B,119,0,1,8,0,0,3,1972,To be done up,0,1,0,0,1,Semi equipped,Fuel oil,10655670,2140,30000,€30.000,1,Antwerpen,Flanders
3772,299000,Oscar Van Kesbeeckstraat 7,2,B,162,0,1,0,0,0,2,1756,To renovate,0,1,0,0,1,USA installed,Gas,10655667,2800,299000,€299000,1,Antwerpen,Flanders
3773,1660000,Bredabaan 260,4,B,183,0,1,0,4085,0,4,1993,As new,0,2,0,0,0,Installed,Gas,10655666,2930,1660000,€1660000,1,Antwerpen,Flanders
3774,895000,Bredabaan 260,4,D,370,0,1,0,1650,0,4,1908,As new,0,2,0,0,0,Installed,Gas,10655665,2930,895000,€895000,1,Antwerpen,Flanders
3775,1350000,"Place Saint Arnould, 6",17,E,420,1,1,0,5076,0,4,0,0,0,10,0,0,13,Hyper equipped,Fuel oil,10655660,6832,1350000,€1350000,1,Luxembourg,Wallonia
3776,125000,"Place Saint Arnould, 6",5,G,527,0,1,0,1216,0,3,0,To renovate,0,1,1,0,2,Not installed,Fuel oil,10655658,6834,125000,€125000,1,Luxembourg,Wallonia
3777,590000,Theofiel De Biestraat 11,3,Not specified,Not specified,0,1,24,590,41,4,2023,0,0,1,0,0,2,Installed,0,10655654,2222,590000,€590000,1,Antwerpen,Flanders
3778,379000,Theofiel De Biestraat 11,3,C,227,0,1,0,189,0,2,0,Good,0,2,0,0,2,Installed,Gas,10655652,2800,379000,€379000,1,Antwerpen,Flanders
3779,369000,Alsembergsesteenweg 660,4,Not specified,Not specified,0,1,6,0,0,2,0,0,0,1,1,0,2,Installed,Gas,10655647,1741,369000,€369000,1,Vlaams-Brabant,Flanders
3780,299000,Alsembergsesteenweg 660,2,Not specified,Not specified,0,1,10,0,0,2,0,0,0,1,0,0,1,Installed,Gas,10655646,1741,299000,€299000,1,Vlaams-Brabant,Flanders
3781,648000,Alsembergsesteenweg 660,3,D,400,0,1,0,623,32,4,1974,To be done up,0,1,0,0,2,Semi equipped,Gas,10655645,1640,648000,€648000,1,Vlaams-Brabant,Flanders
3782,495000,"Parklaan, 9",3,C,249,0,1,0,655,0,4,1991,Good,0,0,0,0,2,Installed,0,10655644,9280,495000,€495000,1,Oost-Vlaanderen,Flanders
3783,235000,Vesten 47,3,E,459,0,0,0,106,0,3,1949,To renovate,0,1,0,0,1,Semi equipped,Gas,10487778,9120,235000,€235000,0,Oost-Vlaanderen,Flanders
3784,749000,7 rue de Namur,3,Not specified,Not specified,0,0,0,0,0,0,0,To be done up,0,1,0,0,1,0,Gas,10655640,1040,749000,€749000,0,Brussels Hoofdstedelijk Gewest,Brussels
3785,975000,Avenue Louise 200,0,F,300,0,0,0,170,0,2,1912,To be done up,0,9,0,0,9,Installed,Gas,10655637,1190,975000,€975000,0,Brussels Hoofdstedelijk Gewest,Brussels
3786,1200000,Avenue Louise 200,0,G,500,0,0,0,400,0,2,0,Good,0,0,0,0,0,Installed,Gas,10655636,1020,1200000,€1200000,0,Brussels Hoofdstedelijk Gewest,Brussels
3787,425000,Grote Baan 164,2,C,234,0,1,0,71,0,2,1897,0,0,1,0,0,2,Semi equipped,Gas,10655625,9000,425000,€425000,1,Oost-Vlaanderen,Flanders
3788,235000,Prins Boudewijnlaaan 318,3,B,196,0,1,25,0,0,2,1965,Good,0,1,1,0,1,Semi equipped,Gas,10655622,2610,235000,€235000,1,Antwerpen,Flanders
3789,249000,Kloosterstraat 89-93,2,D,310,0,1,3,0,0,2,1967,Good,0,1,0,0,1,0,Gas,10655616,2180,249000,€249000,1,Antwerpen,Flanders
3790,525000,Bischoppenhoflaan 284,4,B,132,0,0,0,500,37,3,0,Just renovated,0,1,1,0,2,Installed,Gas,10655613,2110,525000,€525000,0,Antwerpen,Flanders
3791,224500,Gravenstraat 30A,2,Not specified,Not specified,0,1,0,360,0,2,0,To renovate,0,1,0,0,1,0,Gas,10655612,9970,224500,€224500,1,Oost-Vlaanderen,Flanders
3792,14500,Tiensesteenweg 227/101,2,B,182,0,0,0,0,0,3,1900,Just renovated,0,1,0,0,0,Installed,Gas,10655610,3870,14500,€14.500.,0,Limburg,Flanders
3793,699000,Amsterdamstraat 15 bus202,4,B,119,0,1,70,268,0,3,2003,Good,0,2,0,1,3,Installed,Gas,10655608,2840,699000,€699000,1,Antwerpen,Flanders
3794,2490000,Avenue Legrand 30,5,F,342,0,1,0,1350,65,4,0,Good,0,3,0,1,0,Hyper equipped,Gas,10655605,1150,2490000,€2490000,1,Brussels Hoofdstedelijk Gewest,Brussels
3795,349000,Grote Markt 35,0,Not specified,Not specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10655599,9600,349000,€349000,0,Oost-Vlaanderen,Flanders
3796,315000,Grote Markt 35,3,Not specified,Not specified,0,0,0,530,0,3,1936,Good,0,1,0,0,1,Installed,Fuel oil,10655598,9520,315000,€315000,0,Oost-Vlaanderen,Flanders
3797,119000,Grote Markt 35,2,F,512,0,0,0,60,0,2,0,To renovate,0,1,0,0,1,Semi equipped,Gas,10655597,9500,119000,€119000,0,Oost-Vlaanderen,Flanders
