,property_type,property_subtype,immo code,Location,Postcode,Province,Region,Price,Address,Energy class,Primary energy consumption,Furnished,Terrace,Terrace surface,Surface of the plot,Living room surface,Number of frontages,Construction year,Building condition,Bedrooms,Bathrooms,Shower rooms,Office,Toilets,Kitchen type,Heating type,Price_orig
1148,house,house,10655121,aalst,9300,Oost-Vlaanderen,Flanders,259000,Begijnhofdries 31,C,238.0,0,0,0,148,0,2,0,0,3,1,0,0,1,0,0,€259000
1149,apartment,apartment,10664496,geraardsbergen,9500,Oost-Vlaanderen,Flanders,180000,"Repingestraat, 32",C,233.0,0,0,0,0,30,2,0,0,2,1,0,0,1,0,Electric,€180000
1150,house,house,10664494,gent,9000,Oost-Vlaanderen,Flanders,395000,Kortrijksesteenweg 457,F,598.0,0,0,0,111,0,0,1918,To be done up,3,2,0,0,0,0,0,€395000
1151,house,house,10664493,sint-niklaas,9112,Oost-Vlaanderen,Flanders,399500,Casinostraat 3,D,366.0,0,1,0,740,0,4,1944,Good,2,1,0,0,2,0,0,€399500
1154,house,house,10664490,sint-truiden,3800,Limburg,Flanders,325000,Hoogstraat 6,A,26.0,0,1,21,217,34,0,2021,Good,3,1,0,0,2,0,Gas,€325000
1155,apartment,apartment,10662924,borgerhout,2140,Antwerpen,Flanders,185000,Sint-Jansvliet 5,B,145.0,0,0,0,0,0,2,1900,Just renovated,1,1,0,0,0,Semi equipped,Gas,€185000
1156,house,house,10471674,diksmuide,8600,West-Vlaanderen,Flanders,165000,Langestraat 62,F,653.0,0,0,0,165,57,3,1930,0,4,1,0,0,2,0,0,€165000
1157,house,house,10471673,diksmuide,8600,West-Vlaanderen,Flanders,525000,Langestraat 62,C,291.0,0,0,0,760,82,3,1930,0,4,4,0,0,5,Installed,0,€525000
1158,house,bungalow,10664488,de%20haan,8420,West-Vlaanderen,Flanders,559000,Koninklijkebaan 19,C,210.0,0,1,0,927,30,4,1977,Good,3,1,0,0,1,Installed,0,€559000
1159,apartment,apartment,10618627,aartrijke,8211,West-Vlaanderen,Flanders,315000,Marktstraat 20 b1,B,180.0,0,1,44,0,44,2,2010,0,2,1,0,0,2,Installed,0,€315000
1160,apartment,flat-studio,10664487,gent,9000,Oost-Vlaanderen,Flanders,189000,Koning Albertlaan 18,C,213.0,0,0,0,0,0,2,1985,As new,0,1,1,0,1,Installed,Gas,€189000
1161,house,house,10664486,oostkamp,8020,West-Vlaanderen,Flanders,449000,Komvest 1,C,246.0,0,1,0,208,0,4,0,Good,4,2,1,1,2,Installed,Gas,€449000
1163,house,house,10664479,sint-denijs,8554,West-Vlaanderen,Flanders,268000,Vierkeerstraat 2 bus 2,B,138.0,0,0,0,450,15,3,0,Good,5,1,0,1,1,0,Gas,€268000
1164,apartment,apartment,10664478,oostduinkerke,8670,West-Vlaanderen,Flanders,3095000,H. Conciencelaan 70,C,220.0,0,0,0,0,0,2,1993,0,2,2,0,0,3,Installed,0,€3095000
1165,apartment,ground-floor,10664475,pittem,8740,West-Vlaanderen,Flanders,265000,Tieltstraat 35,B,182.0,0,1,0,0,0,3,2007,Good,2,1,0,0,1,0,Gas,€265000
1166,apartment,apartment,10664473,oostende,8400,West-Vlaanderen,Flanders,175000,Groentemarkt 1,C,205.0,0,1,0,0,0,0,1984,To renovate,2,0,0,0,1,0,Gas,€175000
1167,house,mansion,10664470,mechelen,2800,Antwerpen,Flanders,449000,Raghenoplein 15 B4,F,584.0,0,0,0,199,0,2,0,To renovate,4,1,0,1,0,0,Fuel oil,€449000
1168,house,house,10664469,lummen,3560,Limburg,Flanders,437000,Kerkhovensesteenweg 447,B,195.0,0,1,0,1641,41,4,1997,Good,3,1,1,0,2,0,Gas,€437000
1169,apartment,apartment,10664467,ganshoren,1083,Brussels Hoofdstedelijk Gewest,Brussels,245000,Avenues Charles Quint 114,G,446.0,0,1,3,0,30,3,1993,To be done up,2,1,0,0,1,Semi equipped,Electric,€245000
1170,apartment,apartment,10664466,koekelberg,1081,Brussels Hoofdstedelijk Gewest,Brussels,265000,Avenues Charles Quint 114,E,235.0,0,1,10,0,36,2,1990,Good,2,1,0,0,1,0,Electric,€265000
1171,house,house,10664464,roeselare,8800,West-Vlaanderen,Flanders,225000,Hulstedorp 18,C,209.0,0,0,0,140,0,2,0,Good,3,0,0,0,1,Installed,Gas,€225000
1172,house,villa,10664463,tielt,8700,West-Vlaanderen,Flanders,399000,Markt 32,B,199.0,0,1,0,582,0,0,0,As new,3,0,1,0,2,Installed,Gas,€399000
1173,house,villa,10664460,schoten,2900,Antwerpen,Flanders,2200000,Frans de Beuckeleerlaan 2,B,157.0,0,0,0,2053,0,4,1970,Good,4,2,0,0,3,Hyper equipped,0,€2200000
1174,house,house,10664459,fl%C3%A9ron%20roms%C3%A9e,4624,Liï¿½ge,Wallonia,399000,Rue de Herve 70,D,297.0,0,1,35,375,41,3,0,As new,4,2,0,0,2,Installed,Fuel oil,€399000
1175,house,villa,10664450,chaumont-gistoux,1325,Brabant wallon,Wallonia,925000,"Rue des Saules, 31",C,199.0,0,1,0,3169,50,4,1996,0,5,3,0,1,2,Installed,Fuel oil,€925000
1176,house,house,10664449,lasne,1380,Brabant wallon,Wallonia,630000,"Rue des Saules, 31",C,244.0,0,1,0,1353,43,4,0,0,3,2,0,0,2,Installed,Fuel oil,€630000
1177,apartment,apartment,10664443,lokeren,9160,Oost-Vlaanderen,Flanders,159000,"Kortrijksesteenweg, 390 bus 001",D,353.0,0,1,6,0,0,2,1991,0,1,1,0,0,1,Semi equipped,Gas,€159000
1178,apartment,apartment,10664442,zele,9240,Oost-Vlaanderen,Flanders,159000,"Kortrijksesteenweg, 390 bus 001",D,353.0,0,1,6,0,0,2,1991,0,1,1,0,0,1,Semi equipped,Gas,€159000
1179,house,house,10664440,nieuwerkerken,3850,Limburg,Flanders,375000,"Abeelplein, 15",C,299.0,0,1,9,1315,0,4,1977,Good,4,1,1,0,2,Semi equipped,Fuel oil,€375000
1180,house,house,10664439,lier,2500,Antwerpen,Flanders,550000,Zimmerplein  16,F,534.0,0,1,20,199,0,2,1780,0,4,1,0,1,2,Hyper equipped,Gas,€550000
1181,apartment,apartment,10664438,deurne,2100,Antwerpen,Flanders,315000,"Fruithoflaan, 1",C,214.0,0,1,25,0,40,2,1950,Just renovated,3,2,0,0,2,Installed,Gas,€315000
1182,house,house,10664433,gent,9000,Oost-Vlaanderen,Flanders,354000,Antwerpsesteenweg 211,E,494.0,0,0,0,240,34,0,1986,Good,2,1,0,0,2,0,Gas,€354000
