,property_type,property_subtype,immo code,Location,Postcode,Province,Region,Price,Address,Bedrooms,Energy class,Primary energy consumption,Furnished,Terrace,Terrace surface,Surface of the plot,Living room surface,Number of frontages,Construction year,Building condition,Outdoor parking space,Bathrooms,Shower rooms,Office,Toilets,Kitchen type,Heating type,Price2,Price_orig,Terrace2
818,house,villa,10665617,izegem,8870,West-Vlaanderen,Flanders,279000,Baron De Pélichystraat 47,3,F,751.0,0,1,0,699,0,4,1964,To be done up,0,1,0,1,0,0,0,279000,€279000,1
819,apartment,apartment,10551748,gent,9000,Oost-Vlaanderen,Flanders,260000,Zwijnaardsesteenweg 23,2,B,151.0,0,0,0,0,30,2,1961,Good,0,1,0,0,1,Installed,Gas,260000,€260000,0
826,house,house,10665603,huldenberg,3040,Vlaams-Brabant,Flanders,620000,Onze-Lieve-Vrouwstraat 129B,4,C,280.0,0,0,0,500,0,0,1968,0,0,2,0,0,2,0,0,620000,€620000,0
827,apartment,apartment,10665602,deinze,9800,Oost-Vlaanderen,Flanders,249000,Kortrijkstraat 58,2,C,241.0,0,1,20,0,0,2,2006,0,0,1,0,0,1,Installed,Gas,249000,€249000,1
829,house,house,10665598,deinze,9800,Oost-Vlaanderen,Flanders,349000,Kortrijkstraat 58,3,B,104.0,0,0,0,194,0,2,1935,0,0,1,0,0,2,Installed,0,349000,€349000,0
830,house,house,10665597,assebroek,8310,West-Vlaanderen,Flanders,259000,Komvest 1,3,C,207.0,0,0,0,0,0,0,0,Good,0,1,0,0,2,0,0,259000,€259000,0
833,house,villa,10665587,assenede,9960,Oost-Vlaanderen,Flanders,525000,Michel Gillemanstraat 6,3,D,331.0,0,0,0,1730,0,4,1977,Good,0,2,0,0,0,Installed,0,525000,€525000,0
834,apartment,penthouse,10665584,loppem,8210,West-Vlaanderen,Flanders,875000,H. Conciencelaan 70,3,A,94.0,0,1,134,0,0,2,2012,As new,0,2,0,1,3,0,Gas,875000,€875000,1
836,house,house,10665581,brugge,8310,West-Vlaanderen,Flanders,299000,Baron Ruzettelaan 411/01,3,C,242.0,0,0,0,108,0,0,0,0,0,1,0,0,1,0,0,299000,€299000,0
838,house,house,10665570,boussu,7300,Hainaut,Wallonia,55000,"Rue de l'Eglise, 1",2,G,698.0,0,0,0,0,0,2,0,To renovate,0,0,0,0,0,0,0,55000,€55000,0
839,house,house,10665568,boussu,7300,Hainaut,Wallonia,45000,"Rue de l'Eglise, 1",2,G,715.0,0,0,0,214,0,2,0,To restore,0,0,0,0,0,0,0,45000,€45000,0
840,house,house,10665566,boussu,7300,Hainaut,Wallonia,55000,"Rue de l'Eglise, 1",2,G,549.0,0,0,0,286,0,2,0,To renovate,0,0,1,0,0,0,0,55000,€55000,0
841,house,house,10665564,boussu,7300,Hainaut,Wallonia,55000,"Rue de l'Eglise, 1",2,G,575.0,0,0,0,212,0,2,0,To restore,0,0,0,0,0,0,0,55000,€55000,0
844,apartment,apartment,10665555,mouscron,7700,Hainaut,Wallonia,105000,Rue de Courtrai 28,1,E,398.0,0,1,0,0,31,2,0,Just renovated,0,0,1,0,1,Semi equipped,Electric,105000,€105000,1
845,apartment,apartment,10665552,bruxelles,1000,Brussels Hoofdstedelijk Gewest,Brussels,219000,Avenue de l'Hopital Français 15,2,E,212.0,0,1,19,0,33,3,1962,0,0,1,0,0,1,Semi equipped,Electric,219000,€219000,1
846,apartment,apartment,10665547,etterbeek,1040,Brussels Hoofdstedelijk Gewest,Brussels,275000,rue du Monastère 12,2,G,517.0,0,0,0,0,20,2,1956,0,0,1,0,0,0,Installed,Gas,275000,€275000,0
