,Price,Address,Bedrooms,Energy class,Primary energy consumption,Furnished,Terrace,Terrace surface,Surface of the plot,Living room surface,Number of frontages,Construction year,Building condition,Outdoor parking space,Bathrooms,Shower rooms,Office,Toilets,Kitchen type,Heating type,immo_code,Postcode,Price2,Terrace2,Provincie,Gemeenschap
4613,€895000,Dumortierlaan 89,3,Not specified,Not specified,0,1,48,0,0,2,1990,Good,0,2,0,0,2,Installed,0,10654896,8300,895000,1,West-Vlaanderen,Flanders
4614,€195000,Dumortierlaan 89,1,B,130,0,0,0,0,0,2,1964,0,0,1,0,0,1,0,0,10654888,8300,195000,0,West-Vlaanderen,Flanders
4615,€245000,Dumortierlaan 89,1,B,174,0,0,0,0,0,2,1964,0,0,1,0,0,0,0,Gas,10654887,8300,245000,0,West-Vlaanderen,Flanders
4616,€249000,Dumortierlaan 89,1,B,133,0,0,0,0,0,2,1964,0,0,1,0,0,0,0,0,10654886,8300,249000,0,West-Vlaanderen,Flanders
4617,€289000,Dumortierlaan 89,1,Not specified,Not specified,0,0,0,0,0,2,0,Good,0,1,0,0,0,0,Gas,10654885,8300,289000,0,West-Vlaanderen,Flanders
4618,€319000,Dumortierlaan 89,2,C,233,0,0,0,0,0,2,1964,0,0,1,0,0,0,0,Gas,10654884,8301,319000,0,West-Vlaanderen,Flanders
4619,€379000,Dumortierlaan 89,1,C,205,0,0,0,0,0,2,1965,As new,0,1,0,0,1,0,0,10654882,8300,379000,0,West-Vlaanderen,Flanders
4620,€415000,Dumortierlaan 89,2,B,130,0,0,0,0,0,2,1978,Good,0,1,0,0,0,0,Gas,10654881,8300,415000,0,West-Vlaanderen,Flanders
4621,€425000,Dumortierlaan 89,2,Not specified,Not specified,0,0,0,0,0,2,2015,Good,0,1,0,0,0,0,Gas,10654880,8300,425000,0,West-Vlaanderen,Flanders
4622,€429000,Dumortierlaan 89,1,B,115,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,10654879,8300,429000,0,West-Vlaanderen,Flanders
